Case_Act,QMSITEID,StudyName,StudyID,AREADESC,sta_site,STADESC,STATGRPLST,CollMatrix,CollForm,WKSPCNAME,DataClass,DataSource,srctype,sharestat,Workgroup,Workplan,source,loc_geom,legend_tex,map_index,startlat,startlong,endlat,endlong
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1990,05,Port Valdez,PVMC,Mineral Creek Flats,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.461 61.13283333),Tissue,1,61.13283333,-146.461, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1990,05,Unakwit Inlet,UISB,Siwash Bay,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-147.646 60.96083333),Tissue,1,60.96083333,-147.646, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1991,06,Port Valdez,PVMC,Mineral Creek Flats,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.461 61.13283333),Tissue,1,61.13283333,-146.461, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1991,06,Unakwit Inlet,UISB,Siwash Bay,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-147.646 60.96083333),Tissue,1,60.96083333,-147.646, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1992,07,Port Valdez,PVMC,Mineral Creek Flats,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.461 61.13283333),Tissue,1,61.13283333,-146.461, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1992,07,Unakwit Inlet,UISB,Siwash Bay,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-147.646 60.96083333),Tissue,1,60.96083333,-147.646, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1993,08,Port Valdez,PVMC,Mineral Creek Flats,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.461 61.13283333),Tissue,1,61.13283333,-146.461, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1993,08,Unakwit Inlet,UISB,Siwash Bay,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-147.646 60.96083333),Tissue,1,60.96083333,-147.646, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1995,10,Cook Inlet,CIHS,Homer Spit,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.4441667 59.6145),Tissue,1,59.6145,-151.4441667, , 
Alaska (Mussel Watch),MWAK,Mussel Watch:Alaska 1995,10,Gulf of Alaska,GASH,Shuyak Harbor,Alaska/Arctic; National Program,Tissue,NOAA Posted Database,Not Defined,Not Defined,Mussel Watch,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.6218333 58.501),Tissue,1,58.501,-152.6218333, , 
