Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	1,6,7-Trimethylnaphthalene	1.3		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	1-Methylnaphthalene	8.4		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	1-Methylphenanthrene	0.8	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	18a-Oleanane	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	2,6-Dimethylnaphthalene	4.2		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	2-Methylnaphthalene	13.6		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Acenaphthene	2.8		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Acenaphthylene	0.8	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Anthracene	5.6		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Benz[a]anthracene	0.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Benzo[a]pyrene	2.6		ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Benzo[b]fluoranthene	0.2	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_NHA	Nanwalek	Nanwalek	BA2010NPR_NHA	59.3	-151.9	2010	5/28/2010 12:00:00 AM	Clam	Mya Arenaria	PAH-2010	Benzo[e]pyrene	0.2	Below the MDL	ng/dry g	
