Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	1,6,7-Trimethylnaphthalene	1.4		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	1-Methylnaphthalene	9.2		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	1-Methylphenanthrene	1.2	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	18a-Oleanane	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	2,6-Dimethylnaphthalene	5.7		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	2-Methylnaphthalene	17.4		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Acenaphthene	3.8		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Acenaphthylene	1.1	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Anthracene	0.9	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benz[a]anthracene	0.8	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzo[a]pyrene	14.3		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzo[b]fluoranthene	1.1	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzo[e]pyrene	0.7	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzo[g,h,i]perylene	0.7	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzo[k]fluoranthene	0.3	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Benzothiophene	1.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Biphenyl	13.2		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Benzothiophene	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Chrysenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Decalin	28.1		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Dibenzothiophenes	1.3	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Fluoranthenes_Pyrenes	3.8	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Fluorenes	3.8	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Naphthalenes	16.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Naphthobenzothiophene	0.7	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C1-Phenanthrenes_Anthracenes	4.2	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Benzothiophene	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Chrysenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Decalin	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Dibenzothiophenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Fluoranthenes_Pyrenes	1	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Fluorenes	10.5		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Naphthalenes	12.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Naphthobenzothiophene	1.3	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C2-Phenanthrenes_Anthracenes	5.6	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C29-Hopane	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Benzothiophene	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Chrysenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Decalin	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Dibenzothiophenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Fluoranthenes_Pyrenes	1.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Fluorenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Naphthalenes	8.4	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Naphthobenzothiophene	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C3-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C30-Hopane	73.5		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C4-Chrysenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C4-Decalin	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C4-Naphthalenes	6.9	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	C4-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Chrysene	1.7	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Cis_Trans Decalin	30.6		ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Dibenzo[a,h]anthracene	0.3	Below the MDL	ng/dry g	
North Pacific Research Board Alaska Study	NPR_PGHA3	Port Graham	Port Graham	BA2010NPR_PGHA3	59.5705	-151.968	2010	5/28/2010 12:00:00 AM	Cockles	Clinocardium nuttallii	PAH-2010	Dibenzofuran	15.2		ng/dry g	
