Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	1,6,7-Trimethylnaphthalene	1.65	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	1-Methyldibenzothiophene	0.447	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	1-Methylfluorene	2.08	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	1-Methylnaphthalene	10.2		ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	1-Methylphenanthrene	1.26	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	18a-Oleanane	0	Not detected	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2,6-Dimethylnaphthalene	4.36		ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2-Methylanthracene	0.07	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2-Methylfluoranthene	0.355	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2-Methylnaphthalene	15.1		ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2-Methylphenanthrene	1.35	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	2/3-Methyldibenzothiophene	0.711	Below the MDL	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	3,6-Dimethylphenanthrene	0	Not detected	ng/dry g	
Alaska Arctic Study	AKC_15-018	Chukchi Sea	Peard Bay	BA2015AKC-15-018-1AF	70.85295	-158.95015	2015	8/19/2015 12:00:00 AM	Fish	Pleuronectes glacialis	B&B SOP1006	3-Methylphenanthrene	1.33	Below the MDL	ng/dry g	
