Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1,6,7-Trimethylnaphthalene	1.47	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1-Methylnaphthalene	3.55		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1-Methylphenanthrene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	18a-Oleanane	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	2,6-Dimethylnaphthalene	2.96		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	2-Methylnaphthalene	6.19		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Acenaphthene	85.2		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Acenaphthylene	0.538	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Anthracene	0.16	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benz[a]anthracene	0	Not detected	ng/dry g	
