Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	1,6,7-Trimethylnaphthalene	1	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	1-Methylnaphthalene	4.9	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	1-Methylphenanthrene	1.6	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	2,6-Dimethylnaphthalene	4.1	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	2-Methylnaphthalene	6.4	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Acenaphthene	0.9	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Acenaphthylene	0.4	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Anthracene	0.9	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Benz[a]anthracene	0.5	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Benzo[a]pyrene	0.4	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Benzo[b]fluoranthene	0.5	Below the MDL	ng/dry g	
Bering Sea Study	BER_02N	Norton Sound	2N	SS1994BER_02NSTA	64.17	-163	1994		Starfish		GCMS	Benzo[e]pyrene	0.6	Below the MDL	ng/dry g	
