"Site_ID","Study","General_Location","Specific_Location","State","Region","Latitude","Longitude","Collaborator","Matrix","Scientific_Name","Calendar_Year","Unit","Laboratory","TechMemo_Group","Sum","Count"
"ABOB","Mussel Watch","Atchafalaya Bay","Oyster Bayou","Louisiana","Gulf Coast",29.2555,-91.136193857308,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",38.806,39
"AESP","Mussel Watch","Apalachee Bay","Spring Creek","Florida","Gulf Coast",30.0633057494513,-84.322,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",126.805,39
"AHCM","Mussel Watch","Arroyo Hondo","Canyon Mouth","California","Pacific Coast",34.4733894470028,-120.1422,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",123.197,39
"AIAC","Mussel Watch","Absecon Inlet","Atlantic City","New Jersey","North Atlantic Coast",39.3671939447251,-74.4111939447251,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",950.513,39
"ANMI","Mussel Watch","Anacapa Island","Anacapa Island","California","Pacific Coast",34.0059237246614,-119.396488112756,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",27.906,39
"BBCC","Mussel Watch","Buzzards Bay","Cape Cod Canal","Massachusetts","North Atlantic Coast",41.7401845631008,-70.6156845631008,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",178.389333333333,39
"BBCC","Mussel Watch","Buzzards Bay","Cape Cod Canal","Massachusetts","North Atlantic Coast",41.7401845631008,-70.6156845631008,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",118.5296,39
"BBGC","Mussel Watch","Biscayne Bay","Gould's Canal","Florida","South Atlantic Coast",25.5333110751724,-80.3231889248276,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1186.382,39
"BBGN","Mussel Watch","Buzzards Bay","Goosebury Neck","Massachusetts","North Atlantic Coast",41.4816869858069,-71.0373130141931,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",110.062,39
"BBPC","Mussel Watch","Biscayne Bay","Princeton Canal","Florida","South Atlantic Coast",25.5188285378029,-80.3291714621971,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1293.938,39
"BBWF","Mussel Watch","Buzzards Bay","West Falmouth","Massachusetts","North Atlantic Coast",41.6066856970029,-70.6528143029971,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",123.519333333333,39
"BHDB","Mussel Watch","Boston Harbor","Dorchester Bay","Massachusetts","North Atlantic Coast",42.302194638996,-71.036305361004,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",880.4345,39
