GEOID,COMMUNITY,LATITUDE,LONGITUDE,YEAR,SHARC_HALIBUT_LBS,ADFG_SALMON_CHINOOK_NUM,ADFG_SALMON_COHO_NUM,ADFG_SALMON_CHUM_NUM,ADFG_SALMON_PINK_NUM,ADFG_SALMON_SOCK_NUM,ADFG_MINVERT_LBS,ADFG_NONSALMFISH_LBS,ADFG_MMAMMAL_NUM,USFWS_POLAR_BEAR_NUM,USFWS_SEA_OTTER_NUM,USFWS_WALRUS_NUM,ABWC_BELUGA_NUM
200065,ADAK,51.8401822,-176.5660013,1990,,0,47,0,41,800,,,,,,,                                                                                                                                          
200065,ADAK,51.8401822,-176.5660013,1991,,0,6,0,34,281,,,,,,,                                                                                                                                           
200065,ADAK,51.8401822,-176.5660013,1992,,0,30,0,4,587,,,,,,,                                                                                                                                           
200065,ADAK,51.8401822,-176.5660013,1993,,0,12,0,26,638,,,,,,,                                                                                                                                          
200065,ADAK,51.8401822,-176.5660013,1995,,0,0,0,0,156,,,,,,,                                                                                                                                            
200065,ADAK,51.8401822,-176.5660013,1996,,0,0,0,0,91,,,,,,,                                                                                                                                             
200065,ADAK,51.8401822,-176.5660013,1997,,0,0,4,0,229,,,,,,,                                                                                                                                            
200065,ADAK,51.8401822,-176.5660013,1998,,1,0,0,25,428,,,,,,,                                                                                                                                           
200065,ADAK,51.8401822,-176.5660013,1999,,0,0,0,0,25,,,,,,,                                                                                                                                             
200065,ADAK,51.8401822,-176.5660013,2000,,0,4,0,72,270,,,,,5,0,                                                                                                                                         
200065,ADAK,51.8401822,-176.5660013,2001,,14,18,0,14,433,,,,,0,0,                                                                                                                                       
200065,ADAK,51.8401822,-176.5660013,2002,,0,0,0,0,230,,,,,0,0,                                                                                                                                          
200065,ADAK,51.8401822,-176.5660013,2003,687,0,0,0,0,238,,,5,,0,0,                                                                                                                                      
200065,ADAK,51.8401822,-176.5660013,2004,185,0,0,0,0,340,,,2,,0,0,                                                                                                                                      
200065,ADAK,51.8401822,-176.5660013,2005,370,0,0,0,0,138,,,12,,1,0,                                                                                                                                     
200065,ADAK,51.8401822,-176.5660013,2006,508,0,0,0,1,74,,,0,,1,0,                                                                                                                                       
200065,ADAK,51.8401822,-176.5660013,2007,1540,0,2,0,29,292,,,,,0,0,                                                                                                                                     
200065,ADAK,51.8401822,-176.5660013,2008,3058,0,0,0,14,355,,,4,,0,0,                                                                                                                                    
200065,ADAK,51.8401822,-176.5660013,2009,377,,,,,,,,,,0,0,                                                                                                                                              
200065,ADAK,51.8401822,-176.5660013,2010,407,,,,,,,,,,0,0,                                                                                                                                              
200065,ADAK,51.8401822,-176.5660013,2011,300,,,,,,,,,,0,,                                                                                                                                               
,AFOGNAK,,,2004,,0,0,0,0,125,,,,,,,                                                                                                                                                                     
,AFOGNAK,,,2005,,0,0,0,0,120,,,,,,,                                                                                                                                                                     
200650,AKHIOK,56.9495732,-154.214275,1990,,0,70,20,17,165,,,,,,,                                                                                                                                        
200650,AKHIOK,56.9495732,-154.214275,1991,,0,98,2,77,286,,,,,,,                                                                                                                                         
200650,AKHIOK,56.9495732,-154.214275,1992,,0,283,60,22,332,3372,506,20,,,,                                                                                                                              
200650,AKHIOK,56.9495732,-154.214275,1993,,0,64,50,150,125,,,,,,,                                                                                                                                       
200650,AKHIOK,56.9495732,-154.214275,1994,,0,55,0,0,50,,,,,,,                                                                                                                                           
200650,AKHIOK,56.9495732,-154.214275,1995,,,,,,,,,5,,,,                                                                                                                                                 
200650,AKHIOK,56.9495732,-154.214275,1996,,0,0,0,0,0,,,12,,,,                                                                                                                                           
200650,AKHIOK,56.9495732,-154.214275,1997,,2,1,0,25,94,,,8,,,,                                                                                                                                          
200650,AKHIOK,56.9495732,-154.214275,1998,,0,19,0,2,85,,,7,,,,                                                                                                                                          
