"Scientific_name","Common_name","Species_complex","Species_standard","Taxonomic_group","Layman_group"
"Balaena mysticetus","Bowhead","whale","whale","Chordata (Mammalia)","Marine Mammals"
"Boreogadus saida","Arctic Cod","Fish","forage fish","Chordata (Actinopterygii)","Fish"
"Cancer magister","Dungeness Crab","Crustaceans","crab","Decapoda","Crab/Shrimp"
"Chionoecetes bairdi","Tanner (Bairdi Snow) Crab","Crustaceans","crab","Decapoda","Crab/Shrimp"
"Clinocardium nuttallii","Cockle","Cockles","cockle","Bivalvia","Shellfish"
"Clupea pallasii","Pacific Herring","Finfish","forage fish","Chordata (Actinopterygii)","Fish"
"Coregonus autumnalis","Arctic Cisco","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Coregonus nasus","Broad Whitefish","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Coregonus sardinella","Least Cisco","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Cottidae","Sculpin","fish","other fish","Chordata (Actinopterygii)","Fish"
"Crangon septemspinosa","Sandshrimp","Crustaceans","shrimp","Decapoda","Crab/Shrimp"
"Ctenodiscus crispatus","Cookie-Cutter Sea Star","Starfish","starfish","Echinodermata","Urchins/Starfish"
"Delectopecten randolphi","Randolph's Scallop","Scallop","scallop","Bivalvia","Shellfish"
"Delphinapterus leucas","Beluga","whale","whale","Chordata (Mammalia)","Marine Mammals"
"Echinoidea","Sea Urchin","Echinoderms","echinoderms","Echinodermata","Urchins/Starfish"
"Erignathus barbatus","Bearded Seal","pinnipeds","seal","Chordata (Mammalia)","Marine Mammals"
"Eschrichtius robustus","Grey","whale","whale","Chordata (Mammalia)","Marine Mammals"
"Eumetopias jubatus","Steller Sea Lion","pinnipeds","sea lion","Chordata (Mammalia)","Marine Mammals"
"Gadus chalcogrammus","Walleye Pollock","fish","cod","Chordata (Actinopterygii)","Fish"
"Gadus macrocephalus","Pacific Cod","Finfish","cod","Chordata (Actinopterygii)","Fish"
"Hemilepidotus","Irish Lord","Finfish","finfish","Chordata (Actinopterygii)","Fish"
"Hexagrammidae","Greenling","fish","other fish","Chordata (Actinopterygii)","Fish"
"Hippoglossoides elassodon","Flathead Sole","fish","flatfish","Chordata (Actinopterygii)","Fish"
"Hippoglossus stenolepis","Halibut","Finfish","flatfish","Chordata (Actinopterygii)","Fish"
"Hyas","Crab","Crab","crab","Arthropoda (Crustacea)","Crab/Shrimp"
"Isopsetta isolepis","Butter Sole","fish","flatfish","Chordata (Actinopterygii)","Fish"
"Katharina tunicata","Black Chiton","Chiton","chiton","Gastropoda","Shellfish"
"Leiostomus xanthurus","Spot","Finfish","finfish","Chordata (Actinopterygii)","Fish"
"Lepidepecreum","Crustacean","Shrimp","shrimp","Decapoda","Crab/Shrimp"
"Leukoma staminea","Littleneck Clam","Clam","clam","Bivalvia","Shellfish"
"Limanda aspera","Yellowfin Sole","Finfish","flatfish","Chordata (Actinopterygii)","Fish"
"Liparidae","Snailfish","fish","other fish","Chordata (Actinopterygii)","Fish"
"Lithodidae","King Crab","Crustaceans","crab","Decapoda","Crab/Shrimp"
"Lota lota","Burbot","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Macoma nasuta","Bent-Nose Macoma","clam","clam","Bivalvia","Shellfish"
"Microgadus proximus","Pacific Tom Cod","fish","cod","Chordata (Actinopterygii)","Fish"
"Microstomus pacificus","Dover Sole","fish","flatfish","Chordata (Actinopterygii)","Fish"
"Mya arenaria","Soft Shell Clam","clam","clam","Bivalvia","Shellfish"
"Mytilus","Mussel","Molluscs","molluscs","Mollusca","Shellfish"
"Mytilus californianus","California Mussel","Mussel","mussel","Bivalvia","Shellfish"
"Mytilus edulis","Blue Mussel","mussel","mussel","Bivalvia","Shellfish"
"Mytilus galloprovincialis","Mediteranean Mussel","Molluscs","molluscs","Mollusca","Shellfish"
"Mytilus trossulus","Bay Mussel","invertebrate","mussel","Bivalvia","Shellfish"
"Neptunea heros","Heros Neptune","Whelk","snail","gastropoda","Shellfish"
"Nereocystis luetkeanus","Bull Kelp","macroalgae","macroalgae","Algae","Seaweed"
"Octopoda","Octopus","Cephalapods","cephalapods","Mollusca (Cephalopoda)","Shellfish"
"Odobenus rosmarus","Walrus","pinnipeds","walrus","Chordata (Mammalia)","Marine Mammals"
"Oncorhynchus gorbuscha","Pink Salmon","fish","salmon","Chordata (Actinopterygii)","Fish"
"Oncorhynchus keta","Chum Salmon","fish","salmon","Chordata (Actinopterygii)","Fish"
"Oncorhynchus kisutch","Coho Salmon","fish","salmon","Chordata (Actinopterygii)","Fish"
"Oncorhynchus nerka","Kokanee","fish","salmon","Chordata (Actinopterygii)","Fish"
"Oncorhynchus tshawytscha","Chinook Salmon","fish","salmon","Chordata (Actinopterygii)","Fish"
"Ophiodon elongatus","Ling Cod","fish","other fish","Chordata (Actinopterygii)","Fish"
"Osmerus mordax","Rainbow Smelt","Fish","forage fish","Chordata (Actinopterygii)","Fish"
"Pandalus platyceros","Spot Shimp","Crustaceans","shrimp","Decapoda","Crab/Shrimp"
"Paraplagusia bilineata","Rock Sole","Finfish","flatfish","Chordata (Actinopterygii)","Fish"
"Phoca largha","Spotted Seal","pinnipeds","seal","Chordata (Mammalia)","Marine Mammals"
"Phoca vitulina","Harbor Seal","pinnipeds","seal","Chordata (Mammalia)","Marine Mammals"
"Phocidae","Seal","pinnipeds","pinnipeds","Chordata (Mammalia)","Marine Mammals"
"Platichthys stellatus","Starry Flounder","Finfish","flatfish","Chordata (Actinopterygii)","Fish"
"Pleuronectes glacialis","Arctic Flounder","Fish","flatfish","Chordata (Actinopterygii)","Fish"
"Polyplacophora","Chiton","Molluscs","molluscs","Mollusca","Shellfish"
"Prosopium cylindraceum","Round Whitefish","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Protobranchia","Limpet","Limpet","snail","Gastropoda","Shellfish"
"Protothaca staminea","Pacific Littleneck Clam","invertebrate","clam","Bivalvia","Shellfish"
"Pusa hispida","Ringed Seal","pinnipeds","seal","Chordata (Mammalia)","Marine Mammals"
"Salmonidae","Salmon, Smoked","fish","salmon","Chordata (Actinopterygii)","Fish"
"Salvelinus malma","Dolly Varden","fish","salmon","Chordata (Actinopterygii)","Fish"
"Salvelinus namaycush","Lake Trout","fish","salmon","Chordata (Actinopterygii)","Fish"
"Saxidomus gigantea","Butter Clam","clam","clam","Bivalvia","Shellfish"
"Sebastes","Rockfishes","Finfish","finfish","Chordata (Actinopterygii)","Fish"
"Sebastes melanops","Black Rockfish","fish","other fish","Chordata (Actinopterygii)","Fish"
"Siliqua patula","Pacific Razor Clam","Clam","clam","Bivalvia","Shellfish"
"Spirinchus thaleichthys","Longfin Smelt","fish","forage fish","Chordata (Actinopterygii)","Fish"
"Strongylocentrotus droebachiensis","Green Sea Urchin","Urchin","urchin","Echinodermata","Urchins/Starfish"
"Thaleichthys pacificus","Eulachon (Hooligan)","fish","forage fish","Chordata (Actinopterygii)","Fish"
"Thymallus arcticus","Grayling","fish","anadromous/freshwater fish","Chordata (Actinopterygii)","Fish"
"Tresus capax","Horse Clam","clam","clam","Bivalvia","Shellfish"
"Trichodon trichodon","Pacific Sandfish","fish","forage fish","Chordata (Actinopterygii)","Fish"
NA,NA,NA,NA,NA,NA
