GEOID,COMMUNITY,LATITUDE,LONGITUDE,YEAR,SHARC_HALIBUT_LBS,ADFG_SALMON_CHINOOK_NUM,ADFG_SALMON_COHO_NUM,ADFG_SALMON_CHUM_NUM,ADFG_SALMON_PINK_NUM,ADFG_SALMON_SOCK_NUM,ADFG_MINVERT_LBS,ADFG_NONSALMFISH_LBS,ADFG_MMAMMAL_NUM,USFWS_POLAR_BEAR_NUM,USFWS_SEA_OTTER_NUM,USFWS_WALRUS_NUM,ABWC_BELUGA_NUM,Halibut_kg,Invert_kg,NonSalmon_kg,Chinook_kg,Coho_kg,Chum_kg,Sockeye_kg,Pink_kg,PolarBear_kg,SeaOtter_kg,Walrus_kg,Beluga_kg
200065,ADAK,51.8401822,-176.5660013,1990,NA,0,47,0,41,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141,0,1800,61.5,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1991,NA,0,6,0,34,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0,632.25,51,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1992,NA,0,30,0,4,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,1320.75,6,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1993,NA,0,12,0,26,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,0,1435.5,39,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1995,NA,0,0,0,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,351,0,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1996,NA,0,0,0,0,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,204.75,0,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1997,NA,0,0,4,0,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,515.25,0,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1998,NA,1,0,0,25,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,963,37.5,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,1999,NA,0,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,56.25,0,NA,NA,NA,NA
200065,ADAK,51.8401822,-176.5660013,2000,NA,0,4,0,72,270,NA,NA,NA,NA,5,0,NA,NA,NA,NA,0,12,0,607.5,108,NA,70,0,NA
200065,ADAK,51.8401822,-176.5660013,2001,NA,14,18,0,14,433,NA,NA,NA,NA,0,0,NA,NA,NA,NA,140,54,0,974.25,21,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2002,NA,0,0,0,0,230,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,517.5,0,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2003,687,0,0,0,0,238,NA,NA,5,NA,0,0,NA,311.5646258503401,NA,NA,0,0,0,535.5,0,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2004,185,0,0,0,0,340,NA,NA,2,NA,0,0,NA,83.90022675736961,NA,NA,0,0,0,765,0,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2005,370,0,0,0,0,138,NA,NA,12,NA,1,0,NA,167.80045351473922,NA,NA,0,0,0,310.5,0,NA,14,0,NA
200065,ADAK,51.8401822,-176.5660013,2006,508,0,0,0,1,74,NA,NA,0,NA,1,0,NA,230.38548752834467,NA,NA,0,0,0,166.5,1.5,NA,14,0,NA
200065,ADAK,51.8401822,-176.5660013,2007,1540,0,2,0,29,292,NA,NA,NA,NA,0,0,NA,698.4126984126984,NA,NA,0,6,0,657,43.5,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2008,3058,0,0,0,14,355,NA,NA,4,NA,0,0,NA,1386.8480725623583,NA,NA,0,0,0,798.75,21,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2009,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,170.9750566893424,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2010,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,184.58049886621313,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
200065,ADAK,51.8401822,-176.5660013,2011,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,136.05442176870747,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,AFOGNAK,58.00778,-152.76806,2004,NA,0,0,0,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,281.25,0,NA,NA,NA,NA
NA,AFOGNAK,58.00778,-152.76806,2005,NA,0,0,0,0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,270,0,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1990,NA,0,70,20,17,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210,50,371.25,25.5,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1991,NA,0,98,2,77,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,294,5,643.5,115.5,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1992,NA,0,283,60,22,332,3372,506,20,NA,NA,NA,NA,NA,1529.251700680272,229.47845804988663,0,849,150,747,33,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1993,NA,0,64,50,150,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,192,125,281.25,225,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1994,NA,0,55,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165,0,112.5,0,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1995,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1996,NA,0,0,0,0,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1997,NA,2,1,0,25,94,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,20,3,0,211.5,37.5,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1998,NA,0,19,0,2,85,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,57,0,191.25,3,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,1999,NA,0,24,20,32,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,50,504,48,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2000,NA,4,6,0,0,95,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,40,18,0,213.75,0,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2001,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2002,NA,0,0,0,0,20,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,45,0,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2003,1846,NA,NA,NA,NA,NA,1793,151,16,NA,NA,NA,NA,837.18820861678,813.1519274376417,68.48072562358277,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2004,1691,0,0,0,11,102,NA,70,5,NA,NA,NA,NA,766.8934240362812,NA,31.746031746031743,0,0,0,229.5,16.5,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2005,3587,0,4,0,8,95,NA,NA,NA,NA,NA,NA,NA,1626.7573696145125,NA,NA,0,12,0,213.75,12,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2006,3563,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1615.873015873016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2007,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.04761904761904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2008,823,0,4,0,4,82,NA,NA,2,NA,NA,NA,NA,373.24263038548753,NA,NA,0,12,0,184.5,6,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2009,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.297052154195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200650,AKHIOK,56.9495732,-154.214275,2010,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.12471655328798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
