COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg
ADAK,804.2272162833387,4.666666666666667,0
AFOGNAK,275.625,0,0
AKHIOK,620.6230416408988,0,1171.2018140589569
AKIACHAK,89054.22407208498,0,0
AKIAK,61120.03194444445,0,87.07482993197279
AKUTAN,2026.5841128117913,0.875,1299.3197278911564
ALAKANUK,25528.19318181818,5525,0
ALATNA,454.82440476190476,0,0
ALEKNAGIK,7342.172619047619,660,48.07256235827664
ALEXANDER CREEK,1149.375,0,0
ALLAKAKET,14813.62394957983,0,0
AMBLER,9322.5,0,0
ANAKTUVUK PASS,1168.512849584278,0,0
ANCHOR POINT,417.8312746151092,0,1152.3809523809523
ANCHORAGE,125730.00113378685,646.6363636363636,0
ANDERSON,503.8421052631579,0,0
ANGOON,11376.920861678005,1.4,8016.780045351474
ANIAK,47860.85526315789,0,0
ANNETTE ISLAND,36,0,0
ANVIK,38501.99086671706,0,0
ARCTIC VILLAGE,5781.254724111866,0,0
ATKA,229.6906381600259,1,200.90702947845804
ATMAUTLUAK,25084.66176470588,0,0
ATQASUK,20.65,540,0
BARROW,940.9186250257679,10318.636363636364,0
BEAR LAKE,549,0,0
BEAVER,10739.264770723104,0,0
BELUGA,266.46315192743765,0,29.47845804988662
BETHEL,302196.1312873634,224.0909090909091,0
BETTLES,502.3027646956218,0,0
BIG LAKE,1968.6052631578948,0,0
BIRCH CREEK,1132.6402352607709,0,0
BIRD CREEK,52.035714285714285,0,0
BREVIG MISSION,10136.833333333334,4698.333333333333,0
BUCKLAND,7.5,5225,0
BUTTE,352.5,0,0
CANTWELL,294.05233321398737,0,56.23582766439909
CANYON VILLAGE,100.22675736961452,0,0
CENTRAL,1641.1224489795918,0,0
CHALKYITSIK,1567.7231434240364,0,0
CHATANIKA,40.5,0,0
CHATHAM,484,0,0
CHEFORNAK,726.4726757369614,378,0
CHEKOK LAKE,522,0,0
CHENEGA BAY,1799.2405119942714,19.894736842105264,446.78760393046105
CHEVAK,61.74845392702536,392.72727272727275,0
CHICKALOON,849.6029411764706,0,0
CHICKEN,94.11111111111111,0,0
CHIGNIK,4903.620593692022,0.6363636363636364,1939.6825396825395
CHIGNIK LAGOON,6136.504560915275,12.090909090909092,2004.0816326530612
CHIGNIK LAKE,5922.223613687899,1.2727272727272727,1017.9138321995464
CHISANA,356.875,0,0
CHISTOCHINA,2102.8797052154196,0,50.34013605442177
CHITINA,6168.171052631579,0,0
CHUATHBALUK,16157.78947368421,0,0
CIRCLE,16616.914098972924,0,0
CLARKS POINT,4001.0230806608356,1047.6190476190477,91.60997732426304
CLEAR AFB,457.7105263157895,0,0
COFFMAN COVE,1547.1415343915344,14,4743.310657596372
COLD BAY,1582.175028344671,6.3,0
