COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
ADAK,804.2272162833387,4.666666666666667,0,51.8401822,-176.5660013,808.8938829500054
AFOGNAK,275.625,0,0,58.00778,-152.76806,275.625
AKHIOK,620.6230416408988,0,1171.2018140589569,56.9495732,-154.214275,1791.8248556998556
AKIACHAK,89054.22407208498,0,0,60.9161621,-161.4046954,89054.22407208498
AKIAK,61120.03194444445,0,87.07482993197279,60.9099817,-161.2163759,61207.10677437642
AKUTAN,2026.5841128117913,0.875,1299.3197278911564,54.1381957,-165.7908096,3326.7788407029475
ALAKANUK,25528.19318181818,5525,0,62.7111604,-164.6447123,31053.19318181818
ALATNA,454.82440476190476,0,0,66.5639294,-152.8380024,454.82440476190476
ALEKNAGIK,7342.172619047619,660,48.07256235827664,59.2889609,-158.66434279999999,8050.245181405896
ALEXANDER CREEK,1149.375,0,0,61.7255,-150.8695,1149.375
ALLAKAKET,14813.62394957983,0,0,66.5645439,-152.6498075,14813.62394957983
AMBLER,9322.5,0,0,67.100657,-157.8478028,9322.5
ANAKTUVUK PASS,1168.512849584278,0,0,68.1517915,-151.7000705,1168.512849584278
ANCHOR POINT,417.8312746151092,0,1152.3809523809523,59.7509786,-151.7021526,1570.2122269960614
ANCHORAGE,125730.00113378685,646.6363636363636,0,61.177549,-149.2743541,126376.63749742322
ANDERSON,503.8421052631579,0,0,64.3096341,-149.1629188,503.8421052631579
ANGOON,11376.920861678005,1.4,8016.780045351474,57.4407168,-134.4777118,19395.10090702948
ANIAK,47860.85526315789,0,0,61.5780349,-159.5287538,47860.85526315789
ANNETTE ISLAND,36,0,0,55.135,-131.4558,36
ANVIK,38501.99086671706,0,0,62.6310161,-160.2136855,38501.99086671706
ARCTIC VILLAGE,5781.254724111866,0,0,68.1654197,-145.4013293,5781.254724111866
ATKA,229.6906381600259,1,200.90702947845804,52.2130911,-174.215643,431.5976676384839
ATMAUTLUAK,25084.66176470588,0,0,60.8591583,-162.2819874,25084.66176470588
ATQASUK,20.65,540,0,70.4807859,-157.3254592,560.65
BARROW,940.9186250257679,10318.636363636364,0,71.2540835,-156.798949,11259.554988662132
BEAR LAKE,549,0,0,60.19053,-149.36853,549
BEAVER,10739.264770723104,0,0,66.390584,-147.337916,10739.264770723104
BELUGA,266.46315192743765,0,29.47845804988662,61.1912944,-151.1860273,295.9416099773243
BETHEL,302196.1312873634,224.0909090909091,0,60.792913,-161.7934051,302420.2221964543
BETTLES,502.3027646956218,0,0,66.9063183,-151.5377373,502.3027646956218
BIG LAKE,1968.6052631578948,0,0,61.5220256,-149.967886,1968.6052631578948
BIRCH CREEK,1132.6402352607709,0,0,66.2665254,-145.8738782,1132.6402352607709
BIRD CREEK,52.035714285714285,0,0,60.97361,-149.46583,52.035714285714285
BREVIG MISSION,10136.833333333334,4698.333333333333,0,65.34392,-166.5084927,14835.166666666668
BUCKLAND,7.5,5225,0,65.9761063,-161.1386987,5232.5
