COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg,Region
ADAK,804.227216283338748,4.666666666666667,0.000000000000000,51.840182200000001,-176.566001300000011,808.893882950005377,Aleutian
AFOGNAK,275.625000000000000,0.000000000000000,0.000000000000000,58.007779999999997,-152.768059999999991,275.625000000000000,SCAK
AKHIOK,620.623041640898805,0.000000000000000,1171.201814058956870,56.949573200000003,-154.214274999999986,1791.824855699855561,SCAK
AKUTAN,2026.584112811791329,0.875000000000000,1299.319727891156390,54.138195699999997,-165.790809599999989,3326.778840702947491,SCAK
ALAKANUK,25528.193181818180165,5525.000000000000000,0.000000000000000,62.711160399999997,-164.644712300000009,31053.193181818180165,West
ALEKNAGIK,7342.172619047619264,660.000000000000000,48.072562358276642,59.288960899999999,-158.664342799999986,8050.245181405895892,West
ANCHOR POINT,417.831274615109180,0.000000000000000,1152.380952380952294,59.750978600000003,-151.702152600000005,1570.212226996061418,SCAK
ANCHORAGE,125730.001133786849095,646.636363636363626,0.000000000000000,61.177548999999999,-149.274354100000011,126376.637497423216701,SCAK
ANGOON,11376.920861678005167,1.400000000000000,8016.780045351473746,57.440716799999997,-134.477711800000009,19395.100907029478549,SEAK
ANNETTE ISLAND,36.000000000000000,0.000000000000000,0.000000000000000,55.134999999999998,-131.455800000000011,36.000000000000000,SEAK
ATKA,229.690638160025912,1.000000000000000,200.907029478458043,52.213091100000000,-174.215643000000000,431.597667638483927,Aleutian
ATQASUK,20.649999999999999,540.000000000000000,0.000000000000000,70.480785900000001,-157.325459200000012,560.649999999999977,North
BARROW,940.918625025767938,10318.636363636363967,0.000000000000000,71.254083499999993,-156.798948999999993,11259.554988662132018,North
BEAR LAKE,549.000000000000000,0.000000000000000,0.000000000000000,60.190530000000003,-149.368529999999993,549.000000000000000,SCAK
BELUGA,266.463151927437650,0.000000000000000,29.478458049886619,61.191294399999997,-151.186027300000006,295.941609977324276,SCAK
BIG LAKE,1968.605263157894797,0.000000000000000,0.000000000000000,61.522025599999999,-149.967885999999993,1968.605263157894797,SCAK
BIRD CREEK,52.035714285714285,0.000000000000000,0.000000000000000,60.973610000000001,-149.465830000000011,52.035714285714285,SCAK
BREVIG MISSION,10136.833333333333940,4698.333333333333030,0.000000000000000,65.343919999999997,-166.508492700000005,14835.166666666667879,West
BUCKLAND,7.500000000000000,5225.000000000000000,0.000000000000000,65.976106299999998,-161.138698699999992,5232.500000000000000,North
BUTTE,352.500000000000000,0.000000000000000,0.000000000000000,61.548882900000002,-148.983285400000000,352.500000000000000,SCAK
CHATHAM,484.000000000000000,0.000000000000000,0.000000000000000,57.515279999999997,-134.943610000000007,484.000000000000000,SEAK
CHEFORNAK,726.472675736961378,378.000000000000000,0.000000000000000,60.151220100000003,-164.251364200000012,1104.472675736961264,West
CHENEGA BAY,1799.240511994271401,19.894736842105264,446.787603930461046,60.091904399999997,-147.994691700000004,2265.922852766837877,SCAK
CHEVAK,61.748453927025359,392.727272727272748,0.000000000000000,61.530883099999997,-165.597175300000004,454.475726654298114,West
CHICKALOON,849.602941176470608,0.000000000000000,0.000000000000000,61.800275200000002,-148.371464000000003,849.602941176470608,SCAK
CHIGNIK,4903.620593692022339,0.636363636363636,1939.682539682539527,56.294355099999997,-158.395643400000012,6843.939497010925152,SCAK
CHIGNIK LAGOON,6136.504560915274851,12.090909090909092,2004.081632653061206,56.304622899999998,-158.498510399999986,8152.677102659245065,SCAK
CHIGNIK LAKE,5922.223613687899160,1.272727272727273,1017.913832199546391,56.271969200000001,-158.789107500000000,6941.410173160173144,SCAK
CLARKS POINT,4001.023080660835603,1047.619047619047706,91.609977324263042,58.833368700000001,-158.528809899999999,5140.252105604145981,West
COFFMAN COVE,1547.141534391534378,14.000000000000000,4743.310657596372039,56.013183499999997,-132.831890299999998,6304.452191987906190,SEAK
COLD BAY,1582.175028344671091,6.300000000000000,0.000000000000000,55.215582599999998,-162.776106599999991,1588.475028344671045,SCAK
COOPER LANDING,584.176643990929733,0.000000000000000,265.759637188208615,60.496223200000003,-149.824072400000006,849.936281179138405,SCAK
CORDOVA,12909.443472627146548,1344.000000000000000,5585.124716553287726,60.530138000000001,-145.642064900000008,19838.568189180434274,SCAK
CRAIG,19464.056096681095369,264.727272727272748,22877.551020408162003,55.492519799999997,-133.113359500000001,42606.334389816533076,SEAK
CUBE COVE,162.000000000000000,0.000000000000000,0.000000000000000,57.561199999999999,-134.431000000000012,162.000000000000000,SEAK
DEERING,3772.427721088435192,2470.000000000000000,12.244897959183673,66.069313300000005,-162.768610400000000,6254.672619047619264,North
DILLINGHAM,90843.027442795297247,2416.545454545454504,4923.809523809523853,59.054951199999998,-158.540657199999998,98183.382421150279697,West
DIOMEDE,0.000000000000000,21142.222222222222626,0.000000000000000,65.753769100000000,-168.923151200000007,21142.222222222222626,North
EDNA BAY,970.138416477702208,0.000000000000000,392.290249433106567,55.975660200000000,-133.684364899999991,1362.428665910808832,SEAK
EEK,25147.860571212611831,576.190476190476147,0.000000000000000,60.214050200000003,-162.030482900000010,25724.051047403088887,West
EGEGIK,6223.347222222222626,121.666666666666671,0.000000000000000,58.205147500000002,-157.521977700000008,6345.013888888889596,West
EKLUTNA,29.250000000000000,0.000000000000000,0.000000000000000,61.372259999999997,-149.030669999999986,29.250000000000000,SCAK
EKUK,356.800000000000011,0.000000000000000,0.000000000000000,58.814990000000002,-158.557680000000005,356.800000000000011,West
ELFIN COVE,303.439590419501144,0.000000000000000,0.000000000000000,58.191175100000002,-136.312524499999995,303.439590419501144,SEAK
ELIM,14418.920454545454049,9060.909090909090082,0.000000000000000,64.618385099999998,-162.273386399999993,23479.829545454544132,West
